"Date","Price","Open","High","Low","Vol.","Change %"
"10/17/2025","92,278.3","92,520.4","93,339.0","88,620.1","0.90K","-0.28%"
"10/16/2025","92,534.5","95,163.9","96,117.0","92,068.6","0.69K","-2.76%"
"10/15/2025","95,164.6","97,559.3","97,815.2","94,815.0","0.67K","-2.47%"
"10/14/2025","97,570.8","99,722.8","99,955.0","95,123.4","0.58K","-2.13%"
"10/13/2025","99,691.8","99,303.2","100,300.0","98,426.0","0.39K","0.43%"
"10/12/2025","99,268.4","96,650.1","100,235.4","95,600.0","0.65K","2.72%"
"10/11/2025","96,640.5","98,166.7","98,650.7","95,633.5","0.77K","-1.77%"
"10/10/2025","98,380.1","105,200.0","105,909.0","91,752.0","1.42K","-6.48%"
"10/09/2025","105,192.9","106,051.2","106,580.2","103,710.1","0.71K","-0.79%"
"10/08/2025","106,029.7","104,180.6","106,955.0","104,180.6","0.34K","1.77%"
"10/07/2025","104,184.3","106,205.4","107,200.0","103,462.7","0.49K","-1.97%"
"10/06/2025","106,275.9","105,050.0","107,410.9","104,850.0","0.83K","1.17%"
"10/05/2025","105,048.9","104,000.0","106,204.5","103,588.1","0.52K","1.02%"
"10/04/2025","103,987.5","104,012.9","104,499.3","103,154.1","0.20K","0.00%"
"10/03/2025","103,991.1","102,783.5","105,335.4","101,616.7","0.73K","1.17%"
"10/02/2025","102,783.5","101,073.0","103,166.2","100,731.8","0.65K","1.73%"
"10/01/2025","101,040.4","97,221.1","101,073.0","97,100.1","0.62K","3.96%"
"09/30/2025","97,190.7","97,502.9","97,970.6","95,931.1","0.29K","-0.34%"
"09/29/2025","97,520.0","95,865.0","97,580.0","95,161.6","0.28K","1.73%"
"09/28/2025","95,864.9","93,827.1","96,027.5","93,450.0","0.13K","2.18%"
"09/27/2025","93,820.6","93,833.8","93,881.4","93,400.0","0.06K","-0.01%"
"09/26/2025","93,833.8","93,533.6","94,361.3","93,126.0","0.30K","0.31%"
"09/25/2025","93,540.4","96,557.7","96,702.1","93,270.1","0.53K","-3.10%"
"09/24/2025","96,534.5","94,830.8","97,117.4","94,311.9","0.32K","1.79%"
"09/23/2025","94,834.2","95,575.0","96,072.5","94,462.2","0.25K","-0.77%"
"09/22/2025","95,574.3","98,250.9","98,411.9","95,010.0","0.57K","-2.73%"
"09/21/2025","98,259.6","98,612.3","98,708.0","98,198.8","0.08K","-0.36%"
"09/20/2025","98,612.3","98,556.2","98,949.9","98,396.8","0.05K","0.06%"
"09/19/2025","98,556.1","99,357.5","99,700.0","98,110.0","0.26K","-0.79%"
"09/18/2025","99,345.4","98,505.7","100,075.1","98,300.1","0.43K","0.90%"
"09/17/2025","98,459.9","98,400.1","99,032.8","96,800.1","0.31K","0.06%"